;150489;Maison Perrin Beaucastel;Gigondas L'Argnee (Selection Parcellaires);?;Vallée du Rhône;2012;1 Blle;75cl;34.280
;A Créer;Maison Louis Latour;Ardeche Chardonnay  ;Blanc;Bourgogne;;6 Blles;75 cl;5.880
;A Créer;Maison Louis Latour;Bourgogne chardonnay  ;Blanc;Bourgogne;;6 Blles;75 cl;8.428
;A Créer;Maison Louis Latour;Bourgogne Pinot noir  ;Rouge;Bourgogne;;6 Blles;75 cl;9.520
;A Créer;Maison Louis Latour;Montagny Cote Chalonnaise  ;Blanc;Bourgogne;;6 Blles;75 cl;10.234
;A Créer;Maison Louis Latour;Marsannay Cote de Nuits  ;Rouge;Bourgogne;;6 Blles;75 cl;11.928
;160382;Maison Louis Latour;"St Véran ""les deux moulins""   ";Blanc;Bourgogne;2014;6 Blles;75 cl;11.332
;160383;Maison Louis Latour;"Beaune  ""St Désiré"" ";Blanc;Bourgogne;2010;6 Blles;75 cl;18.722
;160384;Maison Louis Latour;"Meursault 1er cru"" les charmes"" ";Blanc;Bourgogne;2012;1 Blle;75 cl;46.803
;160600;Maison Louis Latour;"Puligny Montrachet 1er cru ""les truffieres""   ";Blanc;Bourgogne;2010;1 Blle;75 cl;54.773
;160385;Maison Louis Latour;Aloxe-Corton 1er cru ;Rouge;Bourgogne;2011;1 Blle;75 cl;28.691
;160597;Maison Louis Latour;Gevrey Chambertin    ;Rouge;Bourgogne;2011;6 Blles;75 cl;32.603
;160732;Maison Louis Latour;"Pommard 1er cru  ""Les Epenots ""  ";Rouge;Bourgogne;2012;1 Blle;75 cl;52.164
;160648;Maison Louis Latour;"Volnay 1ER CRU ""les mitrans"" ";Rouge;Bourgogne;2008;1 Blle;75 cl;33.907
;160647;Maison Louis Latour;Corton Grancey  GRD CRU   ;Rouge;Bourgogne;2008;1 Blle;75 cl;54.773
;A Créer;Maison Laroche;Petit Chablis ;Blanc;Bourgogne;;6 Blles;75 cl;10.995
;A Créer;Maison Laroche;Chablis  ;Blanc;Bourgogne;;6 Blles;75 cl;11.610
;A Créer;Maison Laroche;Chablis 1er CRU CHANTRERIE ;Blanc;Bourgogne;;6 Blles;75 cl;14.745
;150478;Maison La Doucette;Chablis Grand Regnard ;Blanc;Bourgogne;2014;1 Blle;75 cl;25.741
;160508;Maison La Doucette;Chablis Grand Regnard  ;Blanc;Bourgogne;2014;3 Blles;150 cl;48.956
;250048;"Maison Klipfel Clos Zisser ""Monopole"" Since 1824";Sylvaner Milles Klipfel;Blanc;Alsace;;6 Blles;75 cl;4.679
;250158;"Maison Klipfel Clos Zisser ""Monopole"" Since 1825";Riesling Milles Klipfel;Blanc;Alsace;;6 Blles;75 cl;5.316
;250099;"Maison Klipfel Clos Zisser ""Monopole"" Since 1826";Gewurztraminer Milles Klipfel;Blanc;Alsace;;6 Blles;75 cl;6.925
;A Créer;Maison Duboeuf Gamme Fleur;Beaujolais Village  ;Rouge;Beaujolais; ;6 Blles;75 cl;5.656
;A Créer;Maison Duboeuf Gamme Fleur;Brouilly Gamme  ;Rouge;Beaujolais; ;6 Blles;75 cl;7.714
;A Créer;Maison Duboeuf Gamme Fleur;Fleurie ;Rouge;Beaujolais; ;6 Blles;75 cl;8.092
;A Créer;Maison Duboeuf Gamme Fleur;Macon Village;Blanc;Beaujolais; ;6 Blles;75 cl;8.638
;A Créer;Maison Duboeuf Gamme Fleur;St Veran;Blanc;Beaujolais; ;6 Blles;75 cl;11.172
;A Créer;Maison Duboeuf Gamme Fleur;Pouilly Fuisse ;Blanc;Beaujolais; ;6 Blles;75 cl;15.932
;A Créer;Maison Foucher;Sauvignon Le Mont BIO ;Blanc;Loire; ;6 Blles;75 cl;4.690
;A Créer;Maison Foucher;Saumur Champigny Petit Clos BIO  ;Rouge;Loire; ;6 Blles;75 cl;6.216
;A Créer;Maison Foucher;Sancerre Le Mont  ;Blanc;Loire; ;6 Blles;75 cl;12.712
;A Créer;Maison Foucher;Pouilly Fumé les Vieilles vignes ;Blanc;Loire; ;6 Blles;75 cl;11.564
;150365;Maison La Doucette;Pouilly Fumé ;Blanc;Loire;2014;12 Blles;75 cl;22.177
;160507;Maison La Doucette;Pouilly Fumé ;Blanc;Loire;2014;3 Blles;150 cl;44.878
;130575;Maison La Doucette;"Pouilly Fumé ""Baron de L""   ";Blanc;Loire;2012;6 Blles;75 cl;47.424
;160739;Maison La Doucette;"Pouilly Fumé ""Baron de L""   ";Blanc;Loire;2012;1 Blles;150 cl;99.340
;150340;Maison La Doucette;"Sancerre  Comte Lafond ""grande cuvée"" ";Blanc;Loire;2013;6 Blles;75 cl;26.280
;160645;Maison La Doucette;"Sancerre  Comte Lafond ""grande cuvée""  ";Blanc;Loire;2013;1 Blles;150 cl;52.744
;151236;Sélection;Agneau ;Rouge;Bordeaux;;6 Blles;75 cl;7.500
;A Créer;Sélection;Agneau;Blanc;Bordeaux;;6 Blles;75 cl;7.500
;140220;Sélection;St Emilion Puisseguin;?;Bordeaux;2009;6 Blles;75 cl;9.191
;A Créer;Sélection;Cote de Bourg Cadet;?;Bordeaux;;6 Blles;75 cl;5.520
;A Créer;Sélection;Médoc;?;Bordeaux;;6 Blles;75 cl;9.072
;A Créer;Sélection;Graves du Bouscaut;?;Bordeaux;;6 Blles;75 cl;11.816
;A Créer;Sélection;St Emilion Grand Cru;?;Bordeaux;;6 Blles;75 cl;16.380
;A Créer;Sélection;St Emilion Grand Cru;?;Bordeaux;;6 Blles;75 cl;9.898
;150316;Sélection Grands Crus;Les Hauts de Tertre Margaux ;Rouge;Bordeaux;2011;12 Blles;75 cl;25.918
;160504;Sélection Grands Crus;Les Hauts de Tertre Margaux ;Rouge;Bordeaux;2010;1 Blle;75 cl;24.213
;150833;Sélection Grands Crus;Château Cadet Piola Saint-Emilion Grand Cru;Rouge;Bordeaux;2007;1 Blle;75 cl;17.712
;150312;Sélection Grands Crus;Château Cadet Piola Saint-Emilion Grand Cru;Rouge;Bordeaux;2011;1 Blle;75 cl;29.995
;22623;Sélection Grands Crus;Château Rieussec Sauternes;Blanc;Bordeaux;1998;1 Blle;75 cl;71.737
;150313;Sélection Grands Crus;Château Giscours Margaux;Rouge;Bordeaux;2010;1 Blle;75 cl;73.761
;22620;Sélection Grands Crus;Château Ducru Beaucaillou Saint-Julien;Rouge;Bordeaux;2004;1 Blle;75 cl;96.023
;150239;Sélection Grands Crus;Chateau de Pez  St Estephe ;Rouge;Bordeaux;2010;1 Blle;75cl;42.743
;150240;Sélection Grands Crus;Chateau de Pez  St Estephe ;Rouge;Bordeaux;2010;1 Blle;150cl;91.483
;150314;Sélection Grands Crus;Château  Fieuzal   Pessac- Leognan ;Rouge;Bordeaux;2011;1 Blle;75cl;40.707
